Name,Review Text,Date Posted
Sumiyati S.,mantulll ,2 minggu lalu
*********061,bagus... ,30 Des 2023
Deliyanti,okeeeeee ,21 Okt 2023
Uminya A.,wow keren,02 Des 2023
niaaaa,real👍🥰 ,10 Nov 2023
I***.,,2 minggu lalu
Third-Party-User,"bagus bangett woyyy wajib beli sih ini, dengan harga yang  semurah itu menurutku kaya bahan cringcle enakk bangett dipake mau nangis bagus soalnya  ",04 Okt 2023
t***i,cakep banget pas di bb aku 61 nyesel beli 1😢 ,07 Jan 2024
Rabbani M.,lumayan ,08 Des 2023
Azmys,kereng. ,30 Des 2023
S***.,"bagus,, ",07 Des 2023
Rimbayani,lumayan ,31 Okt 2023
Warno 0.,pik bnt ,13 Jan 2024
Jihan F.,"Pas sempurna dengan desain high waist., Celana kargo yang trendi dan fungsional., Bagus untuk aktivitas di luar ruangan., Celana kargo yang stylish dan modis., Celana kargo serbaguna untuk berbagai acara.,  ",24 Des 2023
Fitri H.,"mantulll, nexs order lg ",17 Des 2023
rahmachaniago,"sesuai pesanan, celana cargo bagus, bahannya adem, jahitan rapi, kurir nya baik dan ramah makasihh lazada  ",17 Des 2023
Rani A.,"jelek g sesuai dgn gambar mna sobek lgi Deket saku nya, jahitan nya juga g rapih Poko nya 👎 ",17 Des 2023
Livia,"Bahan yang tahan lama untuk penggunaan jangka panjang., Celana kargo yang stylish dan modis., Bagus untuk aktivitas di luar ruangan., Kain nyaman dan bernapas.,  ",17 Des 2023
neneng S.,sesuai harga...... ,17 Des 2023
Arief S.,"Pas sempurna dengan desain high waist., Bagus untuk aktivitas di luar ruangan., Beragam pilihan warna yang dapat dipilih., Celana kargo yang stylish dan modis.,  ",17 Des 2023
Arief S.,"Kain nyaman dan bernapas., Pas sempurna dengan desain high waist., Bahan yang tahan lama untuk penggunaan jangka panjang.,  ",17 Des 2023
suci A.,"Pas sempurna dengan desain high waist., Desain highwaist sedang trendi., Celana kargo yang trendi dan fungsional., Celana kargo yang stylish dan modis.,  ",13 Des 2023
Ayyuk A.,"Pas sempurna dengan desain high waist., Bagus untuk aktivitas di luar ruangan., Bagus untuk aktivitas di luar ruangan., Bahan yang tahan lama untuk penggunaan jangka panjang., Mudah dipadukan dengan berbagai outfit.,  ",3 minggu lalu
Third-Party-User,tidak sesuai ekspektasi ,17 Okt 2023
sant I.,pas..sesuai gambar dan pesanan..trimkasih seller..lazada dan kurir..sukses buat semua.. ,18 Nov 2023
Alifah,"Bahan:bagus
 Ukuran:sesuai
 Rancangan:rapih
 ",17 Okt 2023
Sae E.,kegedean bangettttttttttttttttt ,14 Nov 2023
Nia R.,"Celana kargo yang trendi dan fungsional.,  ",12 Des 2023
L***.,cantik banget ,20 Okt 2023
0***9,"Rancangan:
tidak sesuai pesanan ",19 Okt 2023
nanik S.,celana ukuran remaja jd kl dewasa kurang gedhe  ,4 minggu lalu
nineng N.,"Bahan:jelek
 Ukuran:kkecillan
 Rancangan:jelek semua ",13 Des 2023
8***6,"Bahan yang tahan lama untuk penggunaan jangka panjang.,  ",21 Nov 2023
0***1,bagus mantaf👍👍 ,17 Okt 2023
0***4,"bagus 
 Ukuran:pas ",20 Okt 2023
w***.,bagus sesuai harga..anak ku suka terimaksh salam sukses selalu ,13 Nov 2023
Rosita,"Kain nyaman dan bernapas., Celana kargo yang stylish dan modis., Mudah dipadukan dengan berbagai outfit.,  ",13 Des 2023
8***9,"Mudah dipadukan dengan berbagai outfit.,  ",3 minggu lalu
Armi A.,aku dengan model celananya .kainnya halu dan ringan.cocok di pakai untuk santai ,19 Nov 2023
Ahmad A.,bahanny gajelasss ga sesuaii espektasi sy. ,13 Des 2023
Ariqah O.,"bahan y bagus kok cuman pas dtng plastik nya udh sobek
 ",18 Okt 2023
